name,place,price
成都麓山国际叠溪谷,麓山大道二段6号 ,0
成都金房竹韵天府,三环路西二段56号 ,7599
成都天邑花园,二环路西一段99号 ,0
成都双楠忆景,太平东路三街80号 ,0
成都锦江明珠,锦江南府街6号(盐道街小学旁边) ,0
成都中海峰墅,羊西线蜀西路399号 ,0
成都瑞泰锦城,晋阳路269号 ,0
成都华宇阳光水岸,洪山南路99号 ,8244
成都棕北国际二期,武侯锦绣路34号 ,19988
成都西城家园,青羊罗家碾街158号 ,10897
成都双楠映象,武侯大道双楠段128号 ,8026
成都麓山国际塞尔维蒙,麓山大道二段6号 ,0
成都朗基龙堂,东坡北二路687号 ,8365
成都诚品上院,草金路19号 ,0
成都心怡德盛苑,龙灯山一段299号 ,0
成都空港十六区,机场路近都段16号 ,0
成都温哥华花园,双流长江路1号（航空港） ,10037
成都蓝山美树,麓山大道一段（麓山大道一段310号） ,15525
成都中大君悦金沙,"成都市蜀金西路,万瑞金沙旁 ",22808
成都家益欣城,慕和南道北 ,14179
成都锦绣花园西区,桐梓林东路3号 ,0
成都华润翠林华庭,成华区荆竹中路199号 ,0
成都黄忠一期,同和路39号 ,7940
成都中央花园二期,沙堰西二街20号 ,0
成都远大都市风景四期,天府大道南段325号 ,0
成都香山苑,解放路一段154号 ,0
成都清水路苑,武青路3号 ,0
成都保利御景台,正北下街168号 ,6533
成都左邻右舍,红牌楼北街13号 ,0
成都阳光100米娅中心,塔山路东2.5环迎晖路交汇处（塔子山公园对面） ,9828
成都双楠谊苑,武侯置信北街1号 ,14069
成都上林宽境,南熏大道二段139号 ,0
成都丽景天成,小天南街8号 ,0
成都金桔花园二期南苑,长庆路10号 ,8053
成都卓锦城三期,国香街333号 ,7388
成都棠湖泊林小镇,德通桥路28号 ,5229
成都东麓驿境,公园路1号（龙泉北街） ,6613
成都优地A区,佳灵路39号 ,0
成都阳光春天,高攀路16号 ,0
成都银河花园,银河路2号 ,8906
成都颐和雅居,晋阳路218号 ,0
成都锦溪,永康路5号（西三环草金立交旁） ,0
成都盛世草堂,二环路西二段10号 ,0
成都金色池塘,蜀汉路359号 ,0
成都正成财富ID,梓潼桥西街2号 ,0
成都壹号公馆,人民中路三段1号 ,11057
成都首创后海,建设路2号附18号 ,13003
成都隆鑫九熙,建材路29号（机场路东延线和规划中的玉双路东延线交汇处） ,15934
成都金房水韵天府,王贾路19号 ,7428
成都美洲花园,南三环路五段188号 ,14001
成都罗浮世家一期,高升桥路9号 ,0
成都交大卡布里城,郫县犀浦龙吟村2、3、4社 ,11127
成都名人苑二期,高新区芳草西二街30号 ,0
成都牡丹御园,芳沁街25号 ,14741
成都蓝岸丽景,华阳镇滨河路二段 ,12651
成都戛纳湾畔,华阳滨河路二段368号 ,0
成都花样年花好园,武青南路9号 ,0
成都红泰翰城,南熏大道四段8号 ,4736
成都朝阳名宅,莲桂西路168号 ,0
成都交大智能三期,星汉路33号 ,0
成都美丽南庭,火车南站东路69号 ,17927
成都华侨城纯水岸208区,华丰路260号 ,17995
成都听城,蜀源路8号 ,0
成都长城园,小南街69号 ,0
成都正成凌江尚府,旺泉街10号 ,7460
成都锦官新城,新希望路9号 ,0
成都首创·国际城,蜀都大道与东三环路交界东南侧 ,0
成都新华园,双林北横路131号 ,0
成都南阳锦城,华阳正东中街66号 ,12543
成都莲花新区,莲花北路6号 ,0
成都钢管厂五区,街15号 ,11355
成都白领尊邸,西马道街32号 ,0
成都中航国际交流中心,益州大道北段777号 ,0
成都名都苑,广福桥双楠路1号 ,0
成都锦宏宝润苑,广福路3号（巴黎阳光对面） ,9521
成都水岸华庭,五桂桥北路8号 ,9244
成都蓝谷地一期,静宁路9号（川师南大门侧） ,7423
成都锦天国际,太升南路288号 ,0
成都东润风尚,静居寺路6号 ,0
成都锦宏骏苑,龙江路18-19号 ,19186
成都红运花园馨苑,晋平街18号 ,6708
成都大城际,天府大道南段1163号 ,0
成都望江嘉苑,三官堂街16号 ,0
成都东林小区,昭觉寺南路 ,10853
成都杜鹃花园,武青南路7号 ,0
成都远大都市风景三期,天府大道南段325号 ,0
成都武青嘉苑,武兴一路10号 ,0
成都浪琴湾,瑞南街33号 ,9181
成都三九绿城,王贾路18号 ,0
成都漫城,南熏大道一段88号 ,0
成都澳深花园,玉双路7号（近武成门桥） ,0
成都芙华幸福彼岸,沙河源南街1号 ,7128
成都川大河畔,航空港长城路一段330号 ,0
成都世纪城天鹅湖(别墅),南延线天府大道中段软件园孵化园新会展 ,0
成都城南左岸花都,华阳华府大道一段6号 ,0
成都映日荷花,蓉北商贸大道168号 ,0
成都四季家园,紫荆南路21号 ,0
成都玉林品上,玉林北街1号 ,0
成都香木林加州国际,二环路北一段85号 ,0
成都时代凯悦,人民中路二段70号 ,0
成都成都花园上城,家园南街1号 ,11323
成都香月楠岸,一环路西一段88号 ,17656
成都万科双水岸,毗河东路6号 ,6195
成都天府智谷,锦绣大道南段99号 ,0
成都水印城,正北下街166号 ,14801
成都流星花园,天仙桥北街3号 ,0
成都金地花园,少陵东路1号 ,0
成都翠堤春晓,沙堰路238号 ,13113
成都利通城南晶座,天府大道南段1167号 ,0
成都巴黎阳光,广福桥北街1号 ,0
成都中华园,(锦苑)桐梓林东路5号、(绣苑)桐梓... ,17883
成都四季花城,高升桥路南一段16号 ,0
成都领馆区1号,中和大道一段99号 ,0
成都江安花园,川大路二段299号 ,0
成都九里教师苑,交大路182号 ,0
成都交大庭院,晋吉南路146号 ,0
成都新世纪环球中心,天府大道北段1700号  ,0
成都兴城融域,培中路82号 ,7098
成都千和馨城,蜀汉路520号 ,0
成都楠庭理想,红牌楼一街179号 ,0
成都华润金悦湾,清波路77号（IT大道跨线桥北·西三环外） ,0
成都香格里拉,简阳河东新区雄州大道旁 ,8832
成都皇城公寓,人民南路一段97号 ,0
成都华敏世家花园,天泰路265号（高新管委会对面） ,0
成都江山多娇,金三角周河心 ,5755
成都水岸格林,瑞南街111号 ,9356
成都弘邦领邸,青石桥南街88号 ,0
成都长寿苑,长寿路3号（近省肿瘤医院） ,0
成都育才竹岛,老成仁公路8号 ,0
成都林溪美城,阳光大道15号 ,0
成都长富花园,上南大街2号 ,0
成都碧莲雅舍,一心桥南街211号 ,0
成都中海部落阁,泰和二街371号 ,0
成都新玉林城市公寓,芳草东街82号 ,0
成都南桥视窗,锦里东路18号 ,15358
成都利通上优水岸,长江路一段2号 ,0
成都丰德国际广场,人南立交桥航空港路6号 ,0
成都城市物语,双新南路83号 ,0
成都雅典国际社区,临江东路42号 ,23068
成都置信香颐丽都,天乡路二段88号 ,8717
成都金阳水景,钟楼街73号 ,5077
成都云翔金谷,蜀西南三路111号 ,0
成都碧云天,碧云路1号 ,0
成都潮蓉花园,同善桥南街6号 ,12270
成都都市水岸,杨柳东路中段268号 ,0
成都新世界丽晶花园,青羊实业街59号 ,19977
成都和贵馨城,双新路8号 ,14256
成都紫东芯座,双庆路16号 ,9024
成都原筑,天河路9号 ,10983
成都东恒国际,一环路东五段108号 ,10979
成都碧园公寓,交通巷38号 ,0
成都棕榈花园,科华北路153号 ,0
成都置信柳城谊苑,两河路东段18号 ,0
成都学府美地,南熏大道四段188号 ,5099
成都向阳茗苑,凤溪大道中段198号 ,0
成都森桦苑,少陵路18号 ,0
成都齐盛艺境,天府大道1号 ,15200
成都富临美丽天城,佳灵路75号 ,0
成都太禾水晶城,机场路土桥段118号 ,0
成都倍特金杏苑,芳草西一街17号 ,0
成都摩玛城,二环路东五段9号 ,19843
成都东篱居,建兴路15号 ,0
成都和贵时代巢,神仙树南路9号 ,0
成都卓锦城四期,枫香街253号 ,7564
成都蔚蓝花城,龙工南路888号 ,5639
成都时代天骄,太升北路64号 ,14149
成都七彩花都二期,花都大道西段588号 ,5822
成都芙蓉古城大宅门紫云园,开金路888号 ,8811
成都花样年华四期,永盛南街6号 ,0
成都罗浮世家,武侯高升桥路9号 ,16176
成都交大花园北苑,金雁路181号 ,10805
成都锦宏嘉华苑,双楠路2号（名都苑对面） ,0
成都置信逸都天乐苑,云影路2号 ,10265
成都御城,育英路181号 ,4258
成都萧邦,岳府街55号 ,0
成都西区花园,兴业南街199号 ,9406
成都香木林花园里,成康路1号（龙潭立交附近） ,8429
成都清溪玫瑰园,开金路999号 ,8872
成都莱茵河畔,致民东路18号 ,0
成都金沙岁月,锦屏南路18号 ,0
成都北湖龙郡,龙潭寺西路107号 ,0
成都汉唐新城,南熏路319号 ,2516
成都尚林家园,恒山北街99号 ,9931
成都天府江南,天海路118号 ,4964
成都合能四季映像,龙泉驿区青台山路333号 ,0
成都西蜀尚都,长安路244号 ,0
成都翰香府,学院路东段300号 ,4727
成都明星花苑,同安路2号（华大医院附近） ,0
成都金色夏威夷,西大街84号 ,8332
成都东升国瑞,荷塘北街189号 ,5423
成都城市绿洲花园,长庆路1号 ,0
成都天彩菁华,九里堤中路301号 ,0
成都欣园,抚琴西路318号 ,0
成都星悦领地,草金东路11号 ,0
成都双楠谊苑二期,武侯置信北街8号 ,15781
成都蓝色港湾,天祥街59号 ,0
成都光华揽胜,琼楼路283号 ,8748
成都星语双城2期,武青北路8号 ,0
成都麓山国际翠云岭,南延线麓山大道二段6号 ,0
成都麓山国际水晶岗,麓山大道二段6号 ,31263
成都三利宅院白云渡,元华路 ,16394
成都盛世年华,东珠市街66号 ,0
成都青房云上,锦华路5号 ,18656
成都锦秀民居,锦屏路97号 ,0
成都花样年华,七道堰街36号 ,9243
成都泰基南棠,红牌楼佳灵路6号 ,0
成都好望角商业文化广场,一环路南一段2号 ,10487
成都富港花园,置信北街2号 ,0
成都香洲半岛,翠微路38号 ,4876
成都时代100,致民东路79号 ,17009
成都皇后国际公寓,锦江大塘坎街66号 ,0
成都瑞丰花园,藏卫路南二段528号 ,5389
成都国栋南园五星城,广都大道中心广场旁边 ,9703
成都上城生活馆,东顺路191号 ,0
成都和谐家园,蜀西路4号 ,13770
成都曼哈顿自然派,武侯新希望路4号 ,14180
成都凯莱国际寓所,致民路34号 ,0
成都交大智能二期,交桂路89号 ,15400
成都金河谷,凤凰北大街18号 ,13645
成都华尔兹广场,航空路9号 ,14029
成都东方广场,东大街芷泉街口(一环内) ,19709
成都天府花园,武侯区蓝天路38号 ,17045
成都龙湖铜雀台,二环路东二段3号（厂北路口） ,22077
成都绿杨新邨,蜀汉路490号 ,0
成都丽阳天下,万和路99号 ,9392
成都贵通御苑枫景,白河路四段169号 ,6353
成都桂香居,静康路399号 ,0
成都紫藤花园,紫藤路3号（近大石西路） ,0
成都国信滨河雅居,二环路东五段国信路1号 ,23110
成都城南驿站,科华南路10号 ,0
成都卓锦城一期,成龙大道一段9号 ,7892
成都青羊东二路小区,青羊青羊东二路52号 ,14078
成都名士公馆,长寿路10号 ,0
成都莲花新一区,莲花中路1号 ,0
成都黄忠二期惠民苑,同和路99号 ,0
成都五洲花园,天顺路288号 ,0
成都太阳门,二环路北二段269号 ,0
成都齐力碧水湾,琼楼路516号 ,9293
成都华明居春风翠柳,四威南路1号 ,0
成都宏恩康城,华逸路118号 ,0
成都荷里活,南熏巷23号 ,27938
成都府河蓝湾,府河下街 ,0
成都峨眉天颐,峨眉山温泉度假区 ,0
成都大邦第一城,青江中路288号 ,7445
成都长电厂家属院,长安路122号 ,0
