经纬度
"104.134232,30.598357"
"104.053167,30.677718"
"104.020029,30.667651"
"104.055307,30.693225"
"104.054988,30.633650"
"104.045187,30.632203"
"104.278221,30.558325"
"103.839500,30.708450"
"104.029032,30.670707"
"104.032916,30.643043"
"104.077542,30.615093"
"104.064114,30.547466"
"104.139497,30.589922"
"104.010831,30.662500"
"104.260497,30.563850"
"103.924084,30.861514"
"104.019060,30.709276"
"104.014650,30.640770"
"104.056989,30.645319"
"103.913243,30.725178"
"103.906789,30.565881"
"104.058017,30.715708"
"104.072707,30.549335"
"103.979849,30.672226"
"104.022349,30.634436"
"104.090204,30.684770"
"104.031959,30.668875"
"103.894771,30.680351"
"104.054870,30.525490"
"104.043714,30.627750"
"103.998519,30.632569"
"104.088043,30.547591"
"104.077040,30.552697"
"104.085021,30.657433"
"103.979819,30.667918"
"104.065735,30.519924"
"104.148073,30.632871"
"104.059635,30.721249"
"104.018500,30.697450"
"104.089357,30.549799"
"104.005419,30.652166"
"104.102335,30.601435"
"103.987842,30.678036"
"104.146130,30.617300"
"104.062622,30.646286"
"103.816787,30.407944"
"104.038735,30.649894"
"104.089801,30.667955"
"104.045572,30.689672"
"104.053039,30.621221"
"104.005849,30.647689"
"104.146827,30.597429"
"104.085833,30.607724"
"104.130400,30.682055"
"103.851558,30.680274"
"104.181449,30.654203"
"104.076432,30.622176"
"104.187687,30.804577"
"104.004773,30.647720"
"103.820236,30.416987"
"104.258731,30.562153"
"103.542629,30.896761"
"104.094302,30.603504"
"103.993729,30.633865"
"103.945217,30.994074"
"104.049540,30.505120"
"104.285681,30.567014"
"103.967982,30.669825"
"103.863304,30.681479"
"104.182227,30.649976"
"104.106247,30.702473"
"104.068666,30.516881"
"103.947130,30.682560"
"103.958096,30.753504"
"104.088177,30.559999"
"104.005730,30.711604"
"104.186032,30.657430"
"103.834755,30.724482"
"103.907840,30.567762"
"104.173092,30.832562"
"104.061745,30.522824"
"103.918959,30.580770"
"103.636556,30.986742"
"103.989687,30.678074"
"104.173928,30.803629"
"103.857810,30.688692"
"104.065890,30.528501"
"104.063204,30.508153"
"103.882556,30.805726"
"103.986910,30.681297"
"103.624278,30.982355"
"104.268290,30.565214"
"104.148849,30.788155"
"104.192591,30.809838"
"104.053435,30.508236"
"104.067586,30.507071"
"104.067137,30.636410"
"104.181679,30.818921"
"104.024209,30.768573"
"104.001786,30.655858"
"104.028428,30.628546"
"103.653171,30.635137"
"103.658807,31.012609"
"104.244620,30.888008"
"104.004153,30.568132"
"103.624272,30.997936"
"103.837229,30.689837"
"104.088851,30.555138"
"103.630581,30.969425"
"103.912493,30.576496"
"104.270074,30.564256"
"104.257500,30.879746"
"103.871592,30.688420"
"104.159523,30.821113"
"104.067796,30.816257"
"104.058063,30.513109"
"104.132290,30.605374"
"104.232487,30.571345"
"104.102672,30.639201"
"103.965684,30.759297"
"103.934230,30.573563"
"104.189378,30.809133"
"103.862318,30.693974"
"103.982867,30.648558"
"103.957608,30.760522"
"104.099454,30.661522"
"104.062557,30.508822"
"103.871185,30.681968"
"103.974473,30.750685"
"103.914438,30.565083"
"103.797173,30.412781"
"103.877391,30.676467"
"104.256219,30.550198"
"103.494599,30.918757"
"104.058834,30.511051"
"103.874446,30.676339"
"104.053835,30.508894"
"104.140811,30.648606"
"103.930947,30.557224"
"104.257500,30.546550"
"103.833644,30.686722"
"103.634551,30.988089"
"104.280187,30.570577"
"104.047840,30.509940"
"103.473288,30.403149"
"104.270025,30.562050"
"104.273624,30.559559"
"103.923716,30.574180"
"104.259210,30.537701"
"103.865305,30.679981"
"103.533545,30.682018"
"103.659919,30.644452"
"103.911849,30.601120"
"103.991087,30.609642"
"103.633524,31.010462"
"103.885920,30.675714"
"103.911454,30.579120"
"103.649870,30.988411"
"104.199919,30.572711"
"103.875822,30.680449"
"103.922140,30.578595"
"103.859249,30.689318"
"103.926759,30.563594"
"104.251717,30.567143"
"103.914735,30.555987"
"104.142150,30.777337"
"103.631985,30.992415"
"103.923800,30.573789"
"104.259038,30.542153"
"104.276335,30.560590"
"103.975286,30.688484"
"103.886610,30.807870"
"103.981728,30.660840"
"104.275808,30.566204"
"104.265572,30.567181"
"104.052071,30.504984"
"104.257037,30.544350"
"103.920371,30.672772"
"103.598463,30.976391"
"103.825688,30.686942"
"103.795270,30.822270"
"104.265232,30.562083"
"103.885420,30.806680"
"103.821551,30.697468"
"103.896267,30.796245"
"104.113977,30.673526"
"103.822320,30.686189"
"104.270003,30.564508"
"103.934040,30.564221"
"104.155079,30.584821"
"104.262872,30.549095"
"104.087126,30.553511"
"103.960356,30.753701"
"103.820891,30.691388"
"104.029650,30.728593"
"103.979573,30.670025"
"104.406001,30.853044"
"104.060954,30.510560"
"104.107639,30.646584"
"103.523789,30.568248"
"103.941781,30.778081"
"104.276306,30.562733"
"103.899305,30.805101"
"103.826398,30.690273"
"103.811592,30.695326"
"103.862991,30.698277"
"103.992960,30.570857"
"104.269702,30.560673"
"103.852177,30.687239"
"103.924886,30.575209"
"104.270719,30.556459"
"103.916991,30.567346"
"104.139290,30.793448"
"104.263647,30.552136"
"104.402420,30.862070"
"104.192013,30.803389"
"103.890876,30.802359"
"103.929483,30.574863"
"104.270936,30.575014"
"104.164363,30.791689"
"104.066541,30.572269"
"103.943591,30.764842"
"103.628833,30.974414"
"104.265749,30.560493"
"104.034536,30.533987"
"103.633799,30.978434"
"103.923983,30.582085"
"104.064471,30.508096"
"103.887847,30.804212"
"103.891508,30.801321"
"103.913076,30.570107"
"104.168685,30.810834"
"103.912828,30.568175"
"104.156383,30.741165"
"103.814792,30.691623"
"104.179803,30.818541"
"103.867191,30.691977"
"104.168585,30.805036"
"104.269482,30.556315"
"103.880991,30.810823"
"103.935392,30.564195"
"103.718242,30.616360"
"103.820200,30.706710"
"103.955302,30.990382"
"104.185063,30.810637"
"103.447466,30.413847"
"104.283502,30.567635"
"103.873092,30.686734"
"103.816051,30.677834"
"103.877552,30.814826"
"103.915708,30.573550"
"104.159050,30.793857"
"104.040757,30.631180"
"104.182367,30.810511"
"103.645380,30.989140"
"104.163509,30.822310"
"104.161127,30.813047"
"104.066541,30.572269"
"104.439726,30.841361"
"103.670643,30.640446"
"103.880980,30.807674"
"104.171010,30.823460"
"103.917644,30.572923"
"103.976644,30.752651"
"103.917008,30.564032"
"103.913266,30.593406"
"104.165730,30.828939"
"104.113977,30.673526"
"103.995091,30.761222"
"104.181456,30.814859"
"104.092318,30.547957"
"103.913624,30.870267"
"103.630309,30.985631"
"103.643664,30.991027"
"103.623850,30.970739"
"104.165658,30.798483"
"104.153055,30.812428"
"103.924017,30.572421"
"104.284909,30.576523"
"104.066877,30.514909"
"103.890288,30.806647"
"104.269673,30.553970"
"103.605304,30.660103"
"103.626103,30.967691"
"103.886022,30.800334"
